id_question,role,term,name_en,code,tree_ids,hierarchy_path,scope_note
2337,primary,Diabetes Mellitus Tipo 2,"Diabetes Mellitus, Type 2",D003924,C18.452.394.750.149; C19.246.300,Doenças › C18.452.394.750.149,"Subclasse de DIABETES MELLITUS que não é responsiva ou dependente de INSULINA (DMNID). Inicialmente, caracteriza-se por RESISTÊNCIA À INSULINA e HIPERINSULINEMIA e finalmente, por INTOLERÂNCIA À GLUCOSE, HIPERGLICEMIA e obviamente diabetes. O diabetes mellitus tipo 2 não é mais considerado uma doença encontrada exclusivamente em adultos. Os pacientes, raramente desenvolvem CETOSE, porém com frequência exibem OBESIDADE."
2337,primary,Hipertensão,Hypertension,D006973,C14.907.489,Doenças › C14.907.489,"PRESSÃO ARTERIAL sistêmica persistentemente alta. Com base em várias medições (DETERMINAÇÃO DA PRESSÃO ARTERIAL), a hipertensão é atualmente definida como sendo a PRESSÃO SISTÓLICA repetidamente maior que 140 mm Hg ou a PRESSÃO DIASTÓLICA de 90 mm Hg ou superior."
2338,primary,Ensaio Clínico Controlado Aleatório,Randomized Controlled Trial,D016449,V03.175.250.500.500,V › V03.175.250.500.500,"Trabalho que relata um ensaio clínico que envolve pelo menos um tratamento teste e um tratamento controle, de início e seguimento simultâneos dos grupos teste e controle, e nos quais os tratamentos a serem administrados são selecionados por processo aleatório, como o uso de uma tabela de números aleatórios."
2339,primary,Relações Médico-Paciente,Physician-Patient Relations,D010817,F01.829.401.650.675; N05.300.660.625; SP9.242.315.395.631,Psiquiatria e Psicologia › F01.829.401.650.675,Interações entre médico e paciente.
2339,primary,Comunicação,Communication,D003142,F01.145.209; L01.143; SP8.571.765.672.077,Psiquiatria e Psicologia › F01.145.209,"A troca ou transmissão de ideias, atitudes ou crenças entre indivíduos ou grupos."
2340,primary,Dengue,Dengue,D003715,C01.920.852.157; C01.925.081.270; C01.925.782.350.250.214; C01.925.782.417.214; SP4.909.332.216.372,Doenças › C01.920.852.157,"Doença febril aguda transmitida por picada de mosquitos AEDES infectados com o VÍRUS DA DENGUE. É autolimitada e caracterizada por febre, mialgia, cefaleia e exantema. A DENGUE GRAVE é uma forma mais virulenta da dengue."
2341,primary,Direitos do Paciente,Patient Rights,D028701,I01.880.604.473.650; N03.706.437.650; SP9.242.315.395,I › I01.880.604.473.650,"Direitos fundamentais dos pacientes, conforme descrito nos estatutos, declarações ou princípios morais geralmente aceitos. (Tradução livre do original: Bioethics Thesaurus) O termo é usado para discussões dos direitos do paciente como um grupo de muitos direitos, como uma publicação no hospital de uma lista dos direitos do paciente."
2341,primary,Saúde Mental,Mental Health,D008603,F02.418; N01.400.500; SP2.770.825,Psiquiatria e Psicologia › F02.418,"Bem-estar emocional, psicológico e social de um indivíduo ou grupo."
2342,primary,Lactente,Infant,D007223,M01.060.703,M › M01.060.703,Criança entre 1 e 23 meses de idade.
2342,primary,Vacinação,Vaccination,D014611,E02.095.465.425.400.530.890; E05.478.550.600.890; N02.421.726.758.310.890; N06.850.780.200.425.900; N06.850.780.680.310.890,Técnicas e Equipamentos Analíticos › E02.095.465.425.400.530.890,Administração de vacinas para estimulação da resposta imune do hospedeiro. Isto inclui qualquer preparação que objetive a profilaxia imunológica ativa.
2343,primary,Epilepsia Tônico-Clônica,"Epilepsy, Tonic-Clonic",D004830,C10.228.140.490.375.290,Doenças › C10.228.140.490.375.290,"Transtorno convulsivo generalizado caracterizado por convulsões motoras maiores recidivantes. A fase tônica breve inicial é marcada por flexão do tronco, seguida de extensão difusa do tronco e extremidades. A fase clônica caracteriza-se por contrações flexoras rítmicas do tronco e membros, dilatação pupilar, elevação da pressão arterial e pulso, incontinência urinária e mordida da língua. Esta fase é seguida de um estado profundo de depressão da consciência (estado pós-ictal), progredindo gradualmente de minutos a horas. O transtorno pode ser criptogênico, familiar ou sintomático (causado por um processo de doença identificado)."
2344,primary,Anafilaxia,Anaphylaxis,D000707,C20.543.480.099,Doenças › C20.543.480.099,"Reação de hipersensibilidade aguda devido à exposição a antígeno (ver ANTÍGENOS) previamente encontrado. A reação pode incluir URTICÁRIA rapidamente progressiva, sofrimento respiratório, colapso vascular, CHOQUE sistêmico e morte."
2344,primary,Adrenalinum,Adrenalinum,DDCS025907,HP4.018.602.800.127,HP › HP4.018.602.800.127,"Medicamento homeopático. Epinefrina. Suprarrenina. Adrenalina. Abrev: ""adren."". Substância utilizada: Secreção interna das glândulas suprarrenais."
2345,primary,Imunoglobulinas Intravenosas,"Immunoglobulins, Intravenous",D016756,D12.776.124.486.485.114.619.393.536; D12.776.124.486.485.114.632; D12.776.124.790.651.114.632; D12.776.377.715.548.114.632,Compostos Químicos e Drogas › D12.776.124.486.485.114.619.393.536,"Preparações de imunoglobulinas usadas na infusão intravenosa, contendo principalmente IMUNOGLOBULINA G. São utilizadas para tratar várias doenças associadas com níveis diminuídos ou anormais de imunoglobulina, incluindo AIDS pediátrica, HIPERGAMAGLOBULINEMIA primária, SCID, infecções por CITOMEGALOVÍRUS em recipientes de transplantes, LEUCEMIA LINFOCÍTICA CRÔNICA, síndrome de Kawasaki, infecções em neonatos, e PÚRPURA TROMBOCITOPÊNICA IDIOPÁTICA."
2345,primary,Síndrome de Linfonodos Mucocutâneos,Mucocutaneous Lymph Node Syndrome,D009080,C14.907.940.560; C15.604.560; C17.800.862.560,Doenças › C14.907.940.560,"Afecção mucocutânea, febril, aguda, acompanhada de inchaço dos linfonodos cervicais em recém-nascidos e crianças pequenas. Os principais sintomas são febre, congestão da conjuntiva ocular, vermelhidão dos lábios e cavidade oral, protuberância das papilas linguais, e edema ou eritema das extremidades."
2346,primary,Apneia,Apnea,D001049,C08.618.085; C23.888.852.130,Doenças › C08.618.085,Ausência transitória da respiração espontânea.
2347,primary,Diarreia,Diarrhea,D003967,C23.888.821.214,Doenças › C23.888.821.214,"Aumento na liquidez ou diminuição na consistência das FEZES, como evacuação contínua. A consistência fecal está relacionada com a razão entre a capacidade de sólidos insolúveis para reter água e a água total, e não com o total de água presente. Diarreia é diferente de excesso de defecação ou massa fecal aumentada."
2347,primary,Desidratação,Dehydration,D003681,C18.452.950.179; C23.550.274,Doenças › C18.452.950.179,Afecção resultante de perda excessiva de água pelo organismo vivo.
2348,primary,Escherichia coli O157,Escherichia coli O157,D019453,B03.440.450.425.325.300.800.250.500; B03.660.250.150.180.100.800.250.500,Organismos › B03.440.450.425.325.300.800.250.500,"Sorogrupo que produz verocitotoxina e pertence à subfamília O da Escherichia coli, que mostrou causar doenças graves disseminadas por alimentos. Uma linhagem deste sorogrupo, o sorotipo H7, produz TOXINAS SHIGA, que são ligadas a surto de doenças humanas resultantes da contaminação de alimentos por E.coli O 157 de origem bovina."
2348,primary,Síndrome Hemolítico-Urêmica,Hemolytic-Uremic Syndrome,D006463,C12.050.351.968.419.936.463; C12.200.777.419.936.463; C12.950.419.936.463; C15.378.050.141.610; C15.378.140.855.925.500; C15.378.243.937.925.500,Doenças › C12.050.351.968.419.936.463,"Síndrome que está associada com as doenças microvasculares do RIM, como a NECROSE DO CÓRTEX RENAL. É caracterizada por ANEMIA HEMOLÍTICA, TROMBOCITOPENIA e FALÊNCIA RENAL AGUDA."
2349,primary,Hipersensibilidade a Leite,Milk Hypersensitivity,D016269,C20.543.480.370.500; SP6.990.323.201.200,Doenças › C20.543.480.370.500,"Reação alérgica ao leite (normalmente leite de vaca) ou produtos lácteos. A HIPERSENSIBILIDADE A LEITE deve ser diferenciada da INTOLERÂNCIA À LACTOSE, uma intolerância a leite resultante de deficiência congênita de lactase."
2350,primary,Insuficiência Venosa,Venous Insufficiency,D014689,C14.907.952,Doenças › C14.907.952,"Fluxo de sangue venoso prejudicado ou retorno venoso (estase venosa), geralmente causado por valvas venosas inadequadas. Com frequência, a insuficiência venosa ocorre nas pernas e está associada com EDEMA e, às vezes, com ÚLCERA POR ESTASE VENOSA no tornozelo."
2351,primary,Terapêutica,Therapeutics,D013812,E02; VS3.003.001.006,Técnicas e Equipamentos Analíticos,Procedimentos com interesse no tratamento curativo ou preventivo de doenças.
2351,primary,Trombose Venosa,Venous Thrombosis,D020246,C14.907.355.830.925,Doenças › C14.907.355.830.925,Formação ou presença de um coágulo sanguíneo (TROMBO) dentro de uma veia.
2352,primary,Hemorragia,Hemorrhage,D006470,C23.550.414,Doenças › C23.550.414,Sangramento ou escape de sangue [a partir] de um vaso.
2352,primary,Traumatismos Maxilofaciais,Maxillofacial Injuries,D008446,C10.900.300.284.500; C26.915.300.425.500,Doenças › C10.900.300.284.500,"Traumatismos gerais ou inespecíficos envolvendo a face e mandíbula (tanto superior, inferior ou ambas)."
2353,primary,Queloide,Keloid,D007627,A10.165.450.300.425; C17.300.200.425; C23.550.355.274.510,Anatomia › A10.165.450.300.425,"Cicatriz agudamente elevada, de formato irregular, que se amplia progressivamente, resultante da formação de quantidades excessivas de colágeno na derme durante o reparo do tecido conjuntivo. É diferente de uma CICATRIZ HIPERTRÓFICA, que não se alastra para tecidos subjacentes."
2354,primary,Período Pré-Operatório,Preoperative Period,D057234,E04.614.937; N02.421.585.753.937,Técnicas e Equipamentos Analíticos › E04.614.937,Período antes de uma operação cirúrgica.
2354,primary,Esplenectomia,Splenectomy,D013156,E04.726,Técnicas e Equipamentos Analíticos › E04.726,Procedimento cirúrgico que envolve a extirpação parcial ou inteira do baço.
2355,primary,Dor Abdominal,Abdominal Pain,D015746,C23.888.592.612.054; C23.888.821.030; F02.830.816.444.001; G11.561.790.444.001,Doenças › C23.888.592.612.054,"Sensação de desconforto, mal estar ou agonia na região abdominal."
2356,primary,Peritonite,Peritonitis,D010538,C01.463.600; C06.844.640,Doenças › C01.463.600,"INFLAMAÇÃO do PERITÔNIO, que reveste a CAVIDADE ABDOMINAL, em consequência de processos infecciosos, autoimunes ou químicos. A peritonite primária é decorrente da infecção na CAVIDADE PERITONEAL através da disseminação sanguínea ou linfática sem uma origem intra-abdominal. A peritonite secundária se origina na própria CAVIDADE ABDOMINAL através de RUPTURAS ou ABSCESSO de órgãos intra-abdominais."
2357,primary,Dor Abdominal,Abdominal Pain,D015746,C23.888.592.612.054; C23.888.821.030; F02.830.816.444.001; G11.561.790.444.001,Doenças › C23.888.592.612.054,"Sensação de desconforto, mal estar ou agonia na região abdominal."
2357,primary,Náusea,Nausea,D009325,C23.888.821.712,Doenças › C23.888.821.712,"Sensação desagradável no estômago, geralmente acompanhada pelo impulso de vomitar. Entre as causas comuns estão gravidez inicial, enjoo por movimento e mar, estresse emocional, dor intensa, intoxicação alimentar e várias enteroviroses."
2358,primary,Queimaduras,Burns,D002056,C26.200,Doenças › C26.200,"Traumatismos aos tecidos causados pelo contato com calor, fumaça, agentes químicos (QUEIMADURAS POR AGENTES QUÍMICOS), eletricidade (QUEIMADURAS POR CORRENTE ELÉTRICA), ou similares."
2358,primary,Queimaduras por Inalação,"Burns, Inhalation",D002059,C26.200.322,Doenças › C26.200.322,Queimaduras do trato respiratório causadas por calor ou agentes químicos inalados.
2359,primary,Nutrição Parenteral,Parenteral Nutrition,D010288,E02.421.505; E02.642.500.505; VS3.003.001.006.005.002.002,Técnicas e Equipamentos Analíticos › E02.421.505,"Administração de nutrientes para assimilação e utilização por um paciente que não pode manter uma nutrição adequada somente pela alimentação enteral. Os nutrientes são administrados por uma via diferente daquela do canal alimentar (por exemplo, por via endovenosa, subcutânea)."
2359,primary,Nutrição Enteral,Enteral Nutrition,D004750,E02.421.360; E02.642.500.360; VS3.003.001.006.005.002.001,Técnicas e Equipamentos Analíticos › E02.421.360,"Manutenção nutricional através do canal alimentar ou qualquer via conectada ao sistema gastrointestinal (isto é, a via enteral). Inclui alimentação oral, alimentação por gotas e alimentação por sondas nasogástricas, gastrostomia e jejunostomia."
2360,primary,Ética Médica,"Ethics, Medical",D004992,K01.752.566.479.171.132.750; N05.350.340.162.500,K › K01.752.566.479.171.132.750,"Princípios de conduta profissional própria relativos aos direitos e deveres do médico, relações com os pacientes e médicos da mesma categoria, assim como ações do médico no cuidado ao paciente e as relações interpessoais com a família do paciente."
2360,primary,Relações Médico-Paciente,Physician-Patient Relations,D010817,F01.829.401.650.675; N05.300.660.625; SP9.242.315.395.631,Psiquiatria e Psicologia › F01.829.401.650.675,Interações entre médico e paciente.
2361,primary,Infecção do Sítio Cirúrgico,Surgical Wound Infection,D013530,C01.947.692; C23.550.767.925,Doenças › C01.947.692,As infecções que ocorrem no local da incisão cirúrgica.
2361,primary,Apendicectomia,Appendectomy,D001062,E04.210.078,Técnicas e Equipamentos Analíticos › E04.210.078,"Remoção cirúrgica do apêndice vermiforme. (Dorland, 28a ed.)"
2362,primary,Hérnia Inguinal,"Hernia, Inguinal",D006552,C23.300.707.374.875,Doenças › C23.300.707.374.875,"Hérnia abdominal com uma saliência externa na região da VIRILHA. Pode ser classificada de acordo com a localização da herniação. As hérnias inguinais indiretas ocorrem através do anel inguinal interno. As hérnias inguinais diretas ocorrem através de defeitos na PAREDE ABDOMINAL (fáscia transversal) no triângulo de Hesselbach. O primeiro tipo, normalmente é observado em crianças e adultos jovens, o segundo em adultos."
2363,primary,Neoplasias Gástricas,Stomach Neoplasms,D013274,C04.588.274.476.767; C06.301.371.767; C06.405.249.767; C06.405.748.789,Doenças › C04.588.274.476.767,Tumores ou câncer do ESTÔMAGO.
2364,primary,Dor Abdominal,Abdominal Pain,D015746,C23.888.592.612.054; C23.888.821.030; F02.830.816.444.001; G11.561.790.444.001,Doenças › C23.888.592.612.054,"Sensação de desconforto, mal estar ou agonia na região abdominal."
2364,primary,Colelitíase,Cholelithiasis,D002769,C06.130.409,Doenças › C06.130.409,"A presença ou formação de CÁLCULOS BILIARES no TRATO BILIAR, usualmente na vesícula biliar (COLECISTOLITÍASE) ou no ducto biliar comum (COLEDOCOLITÍASE)."
2365,primary,Pneumotórax,Pneumothorax,D011030,C08.528.778,Doenças › C08.528.778,"Acúmulo de ar ou gás na CAVIDADE PLEURAL, que pode ocorrer espontaneamente ou como resultado de trauma ou processo patológico. O gás pode ser introduzido deliberadamente durante a PNEUMOTÓRAX ARTIFICIAL."
2365,primary,Ferimentos Perfurantes,"Wounds, Stab",D014951,C26.986.950,Doenças › C26.986.950,Ferimentos penetrantes causados por um objeto pontiagudo.
2366,primary,Traumatismos Craniocerebrais,Craniocerebral Trauma,D006259,C10.900.300; C26.915.300,Doenças › C10.900.300,"Lesões traumáticas envolvendo o crânio e estruturas intracranianas (i. é, CÉREBRO; NERVOS CRANIANOS; MENINGES e outras estruturas). As lesões podem ser classificadas de acordo com o crânio ser penetrado ou não (i. é, penetrante vs. não penetrante), ou se houver hemorragia associada."
2367,primary,Neoplasias da Próstata,Prostatic Neoplasms,D011471,C04.588.945.440.770; C12.100.500.260.750; C12.100.500.565.625; C12.200.294.260.750; C12.200.294.565.625; C12.200.758.409.750; C12.900.619.750,Doenças › C04.588.945.440.770,Tumores ou câncer de PRÓSTATA.
2368,primary,Hemorragia Gastrointestinal,Gastrointestinal Hemorrhage,D006471,C06.405.227; C23.550.414.788,Doenças › C06.405.227,Sangramento em qualquer segmento do TRATO GASTROINTESTINAL do ESÔFAGO até o RETO.
2368,primary,Cirrose Hepática,Liver Cirrhosis,D008103,C06.552.630; C23.550.355.412,Doenças › C06.552.630,"A doença hepática na qual a microcirculação normal, a anatomia vascular no geral, e a arquitetura hepática têm sido destruídas e alteradas de modo variado por septos fibrosos ao redor de nódulos parenquimatosos regenerados ou em regeneração."
2369,primary,Traumatismos Craniocerebrais,Craniocerebral Trauma,D006259,C10.900.300; C26.915.300,Doenças › C10.900.300,"Lesões traumáticas envolvendo o crânio e estruturas intracranianas (i. é, CÉREBRO; NERVOS CRANIANOS; MENINGES e outras estruturas). As lesões podem ser classificadas de acordo com o crânio ser penetrado ou não (i. é, penetrante vs. não penetrante), ou se houver hemorragia associada."
2370,primary,Hipertensão,Hypertension,D006973,C14.907.489,Doenças › C14.907.489,"PRESSÃO ARTERIAL sistêmica persistentemente alta. Com base em várias medições (DETERMINAÇÃO DA PRESSÃO ARTERIAL), a hipertensão é atualmente definida como sendo a PRESSÃO SISTÓLICA repetidamente maior que 140 mm Hg ou a PRESSÃO DIASTÓLICA de 90 mm Hg ou superior."
2370,primary,Pressão Arterial,Arterial Pressure,D062186,G09.330.380.076.347,Fenômenos Biológicos › G09.330.380.076.347,"Pressão sanguínea nas ARTÉRIAS. É comumente medida com um esfingomanômetro na parte superior do braço, que representa a pressão arterial na ARTÉRIA BRAQUIAL."
2371,primary,Metformina,Metformin,D008687,D02.078.370.141.450,Compostos Químicos e Drogas › D02.078.370.141.450,"Hipoglicêmico biguanida utilizada no tratamento da diabetes mellitus não dependente de insulina que não responde às modificações na dieta. Metformina melhora o controle glicêmico aumentando a sensibilidade à insulina e diminuindo a absorção intestinal de glucose. (Tradução livre do original: Martindale, The Extra Pharmacopoeia, 30th ed, p289)"
2371,primary,Diabetes Mellitus Tipo 2,"Diabetes Mellitus, Type 2",D003924,C18.452.394.750.149; C19.246.300,Doenças › C18.452.394.750.149,"Subclasse de DIABETES MELLITUS que não é responsiva ou dependente de INSULINA (DMNID). Inicialmente, caracteriza-se por RESISTÊNCIA À INSULINA e HIPERINSULINEMIA e finalmente, por INTOLERÂNCIA À GLUCOSE, HIPERGLICEMIA e obviamente diabetes. O diabetes mellitus tipo 2 não é mais considerado uma doença encontrada exclusivamente em adultos. Os pacientes, raramente desenvolvem CETOSE, porém com frequência exibem OBESIDADE."
2372,primary,Diabetes Mellitus Tipo 1,"Diabetes Mellitus, Type 1",D003922,C18.452.394.750.124; C19.246.267; C20.111.327,Doenças › C18.452.394.750.124,"Subtipo de DIABETES MELLITUS caracterizada por deficiência de INSULINA. Manifesta-se por um início repentino de intensa HIPERGLICEMIA, progressão rápida a CETOACIDOSE DIABÉTICA e MORTE, a menos que tratada com insulina. A doença pode ocorrer em qualquer idade, mas é mais comum durante a infância ou adolescência."
2372,primary,Cetoacidose Diabética,Diabetic Ketoacidosis,D016883,C18.452.076.176.652.500; C19.246.099.812,Doenças › C18.452.076.176.652.500,"Complicação com risco de vida do diabetes mellitus, principalmente do DIABETES MELLITUS TIPO 1, com grave deficiência de INSULINA e intensa HIPERGLICEMIA. Caracteriza-se por CETOSE, DESIDRATAÇÃO e diminuição da consciência, o que leva ao COMA."
2373,primary,Anemia Hemolítica Autoimune,"Anemia, Hemolytic, Autoimmune",D000744,C15.378.050.141.125; C20.111.175,Doenças › C15.378.050.141.125,Anemia hemolítica adquirida devido à presença de AUTOANTICORPOS que aglutinam ou lisam os GLÓBULOS VERMELHOS do próprio paciente.
2374,primary,Cuidados Paliativos,Palliative Care,D010166,E02.760.666; N02.421.585.666,Técnicas e Equipamentos Analíticos › E02.760.666,"Assistência promovida por uma equipe multidisciplinar, que objetiva a melhoria da qualidade de vida do paciente e seus familiares, diante de uma doença que ameace a vida, por meio da prevenção e alívio do sofrimento, por meio de identificação precoce, avaliação impecável e tratamento de dor e demais sintomas físicos, sociais, psicológicos e espirituais. (WHO, 2002)"
2374,primary,Neoplasias Pancreáticas,Pancreatic Neoplasms,D010190,C04.588.274.761; C04.588.322.475; C06.301.761; C06.689.667; C19.344.421,Doenças › C04.588.274.761,"Tumores ou câncer do PÂNCREAS. Dependendo dos tipos de CÉLULAS das ILHOTAS PANCREÁTICAS presentes nos tumores, vários hormônios podem ser secretados: GLUCAGON das CÉLULAS PANCREÁTICAS ALFA, INSULINA das CÉLULAS PANCREÁTICAS BETA e SOMATOSTATINA das CÉLULAS SECRETORAS DE SOMATOSTATINA. A maioria é maligna, exceto os tumores produtores de insulina (INSULINOMA)."
